Bloodwork and tests,12
Experiencing severe headaches,18
Pain in left foot when walking,20
Persistent migraines with visual aura,35
Post-operative check for heart valve replacement,22
Difficulty breathing during exercise,25
Insomnia and difficulty sleeping,18
Feeling light-headed when rising quickly,21
Accidental fall with a blow to the head,50
Blurry vision occasionally,28
Regular health check-up for an adult,22
Consultation for seasonal allergies,16
Stress and anxiety management consultation,35
Vaccination for travel purposes,18
Repair of minor skin lacerations,28
Evaluation of ankle discomfort,23
Medication review and adjustment for hypertension,17
Bacterial ear infection management,13
Nutritional guidance for better diet,30
Lower back pain assessment and therapy,22
Annual influenza vaccination,12
Routine examination for blood pressure issues,18
Removal of a plantar wart,12
Knee discomfort when climbing stairs,24
Diabetes management and glucose monitoring,17
Tooth extraction for impacted wisdom tooth,25
Sudden onset of a skin rash,18
Lab results discussion and next steps,15
Chronic fatigue consultation,32
Abdominal cramps and pain evaluation,30
Prescription review and adjustment,12
Treatment for sinus congestion,17
Review and plan for asthma management,23
Evaluation for frequent dizziness,30
Skin assessment for acne treatment,18
Follow-up for depression treatment,35
Performing an echocardiogram,45
Assessment after a minor head injury,33
Consultation for potential pregnancy,25
Therapy for second-degree burns,30
Examination of elbow pain,23
Investigation of chronic neck pain,28
Chest X-ray for persistent cough,25
Discussion on memory issues and cognitive tests,35
Pain management for a hallux valgus (bunion),23
Physical therapy session for rotator cuff injury,35
Treatment for intense and sudden headaches,25
Session for anxiety coping strategies,33
Diagnostic testing for hearing deterioration,30
Skin biopsy follow-up,23
Evaluation of a suspected broken ankle,28
Routine cleaning and dental exam,35
Screening for melanoma and other skin cancers,25
Detailed examination of skin moles,20
Evaluation for possible hernia,25
Treatment for wrist tendonitis,21
Thyroid function test and consultation,18
Child's yearly health review,35
Discussion on symptoms of menopause,25
Hearing assessment and potential aid fitting,30
Assessment for cataracts and treatment options,18
Physical for sports activity clearance,25
Assessment for an allergic skin reaction,23
Gastroenterology consult for digestive issues,35
Follow-up after knee replacement surgery,30
Evaluation of persistent cough and cold,20
Dietary session for nutritional deficiencies,35
Post-surgical follow-up for observation,25
Therapeutic session for immunotherapy,50
Development of a migraine management plan,30
Treatment for acute sinus infection,25
Routine gynecological examination,35
Stress test for cardiovascular health,45
Arthritis symptom management and therapy,25
Cardiology review for heart health,35
Screening and discussion for child development,35
Diagnosis and treatment plan for vertigo,30
Liver function diagnostics,18
Consultation for sleep apnea symptoms,35
Assessment of flu-like symptoms,20
Procedure for removing an ingrown toenail,25
Consultation for laser eye surgery options,30
Follow-up for bipolar disorder management,35
Physical rehabilitation for orthopedic recovery,50
Prostate health screening and PSA test,25
Ultrasound to monitor pregnancy,35
Assistance with quitting smoking,25
Evaluation for TMJ disorders,23
Procedure for treating varicose veins,35
Glaucoma screening and eye pressure test,18
Fertility assessment and treatment discussion,35
Procedure for a lumbar puncture,50
Preparation for gastrointestinal endoscopy,25
Psychiatric evaluation for mental health issues,55
Discussion on osteoporosis prevention and treatment,25
Monitoring and management of chronic pancreatitis,35
Tuberculosis screening and follow-up,20
Visit to antenatal clinic for routine pregnancy check,25
Consultation for symptoms of Lyme disease,30
Chiropractic adjustment for spinal alignment,25
Follow-up after breast cancer treatment,30
Dental implant planning and consultation,35
Management session for ADHD in adults,50
Testing for drug allergies and reactions,35
Bloodwork ,10
I have a sore throat and fever ,10
Foot hurts each time I take a step ,17
Frequent headaches and migraines ,30
Heart surgery follow up,15
Can't breathe properly when running ,20
Can't sleep ,12
Gets dizzy when standing up ,19
"Was sitting in a chair and fell over, hit head on floor ",47
Vision is blurry ,23
Routine physical examination ,20
Seasonal allergy consultation ,15
Consultation for stress and anxiety ,30
Scheduled vaccination ,15
Minor laceration repair ,25
Possible sprained ankle ,20
Follow up for medication adjustment ,15
Ear infection ,10
Consultation for dietary advice ,25
Back pain consultation ,20
Annual flu shot ,10
Checkup for high blood pressure ,15
Wart removal ,10
Knee pain when bending ,20
Follow up for diabetes management ,15
Toothache ,20
Sudden rash on skin ,15
Review of lab results ,10
Chronic fatigue syndrome discussion ,30
Stomach pain ,25
Prescription refill and consultation ,10
Sinus congestion ,15
Asthma review ,20
Dizziness and loss of balance ,25
Acne consultation ,15
Depression follow up,30
Echocardiogram ,40
Head injury check ,30
Pregnancy consultation ,20
Burn treatment ,25
Elbow pain evaluation ,20
Neck stiffness and pain ,25
Chest X ray,20
Memory problems consultation ,30
Bunion pain ,20
Physical therapy for shoulder ,30
Severe headache ,20
